,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,5,5,9,20,0.0204081633,4,5
1,22,22,26,88,0.0217391304,4,22
2,3,3,7,12,0.0222222222,3,3
3,4,4,8,16,0.0208333333,4,4
4,18,18,22,72,0.0212765957,4,18
5,1,1,5,4,0.0208333333,1,1
6,8,8,12,32,0.0227272727,4,8
7,8,8,12,32,0.0227272727,4,8
8,3,3,7,12,0.0204081633,3,3
9,9,9,13,36,0.0263157895,4,9
10,1,1,5,4,0.0217391304,1,1
11,1,1,5,4,0.0222222222,1,1
12,22,22,26,88,0.0217391304,4,22
13,11,11,15,44,0.0263157895,4,11
14,3,3,7,12,0.0208333333,3,3
15,20,20,24,80,0.0212765957,4,20
16,1,1,5,4,0.0263157895,1,2
17,3,3,7,12,0.0212765957,3,3
18,6,6,10,24,0.0238095238,4,6
19,2,2,6,8,0.0212765957,2,2
20,16,16,20,64,0.037037037,4,16
21,3,3,7,12,0.0285714286,3,3
22,1,1,5,4,0.0212765957,1,1
23,2,2,6,8,0.0217391304,2,2
24,5,5,9,20,0.0217391304,4,5
25,4,4,8,16,0.0217391304,4,4
26,1,1,5,4,0.0263157895,1,5
27,5,5,9,20,0.0208333333,4,5
28,5,5,9,20,0.0217391304,4,5
29,3,3,7,12,0.023255814,3,3
30,4,4,8,16,0.0212765957,4,4
31,1,1,5,4,0.0222222222,1,1
32,18,18,22,72,0.0212765957,4,18
33,12,12,16,48,0.0238095238,4,12
34,3,3,7,12,0.0256410256,3,35
35,2,2,6,8,0.0212765957,2,2
36,4,4,8,16,0.0263157895,4,4
37,15,15,19,60,0.0217391304,4,15
38,1,1,5,4,0.0212765957,1,1
39,10,10,14,40,0.0208333333,4,14
40,6,6,10,24,0.0208333333,4,6
41,6,6,10,24,0.0204081633,4,22
42,4,4,8,16,0.0217391304,4,4
43,9,9,13,36,0.0208333333,4,9
44,12,12,16,48,0.0208333333,4,13
45,5,5,9,20,0.0212765957,4,5
46,17,17,21,68,0.0238095238,4,17
47,3,3,7,12,0.0208333333,3,3
48,9,9,13,36,0.0204081633,4,10
49,5,5,9,20,0.0212765957,4,5
50,11,11,15,44,0.0238095238,4,11
51,4,4,8,16,0.023255814,4,4
52,1,1,5,4,0.0222222222,1,1
53,38,38,42,152,0.0227272727,4,38
54,2,2,6,8,0.0263157895,2,2
55,4,4,8,16,0.025,4,18
56,2,2,6,8,0.0208333333,2,6
57,4,4,8,16,0.023255814,4,4
58,1,1,5,4,0.0208333333,1,1
59,4,4,8,16,0.0277777778,4,4
60,1,1,5,4,0.0204081633,1,1
61,19,19,23,76,0.0263157895,4,19
62,4,4,8,16,0.0294117647,4,4
63,39,39,43,156,0.0227272727,4,41
64,7,7,11,28,0.0217391304,4,7
65,4,4,8,16,0.0204081633,4,4
66,5,5,9,20,0.0204081633,4,5
67,3,3,7,12,0.0217391304,3,3
68,6,6,10,24,0.0204081633,4,6
69,10,10,14,40,0.0222222222,4,10
70,3,3,7,12,0.0238095238,3,3
71,7,7,11,28,0.0217391304,4,7
72,13,13,17,52,0.0212765957,4,13
73,5,5,9,20,0.023255814,4,6
74,9,9,13,36,0.0222222222,4,9
75,19,19,23,76,0.0208333333,4,19
76,15,15,19,60,0.0277777778,4,15
77,11,11,15,44,0.03125,4,11
78,1,1,5,4,0.023255814,1,1
79,2,2,6,8,0.0204081633,2,2
80,14,14,18,56,0.0222222222,4,14
81,3,3,7,12,0.0208333333,3,3
82,9,9,13,36,0.0208333333,4,9
83,4,4,8,16,0.0204081633,4,4
84,19,19,23,76,0.023255814,4,37
85,3,3,7,12,0.0227272727,3,3
86,5,5,9,20,0.0222222222,4,5
87,9,9,13,36,0.0277777778,4,9
88,6,6,10,24,0.0238095238,4,6
89,3,3,7,12,0.0263157895,3,3
90,10,10,14,40,0.0277777778,4,10
91,3,3,7,12,0.0263157895,3,3
92,7,7,11,28,0.0322580645,4,13
93,1,1,5,4,0.0285714286,1,9
94,4,4,8,16,0.0204081633,4,4
95,2,2,6,8,0.0227272727,2,2
96,5,5,9,20,0.0222222222,4,5
97,7,7,11,28,0.0227272727,4,7
98,7,7,11,28,0.0227272727,4,7
99,3,3,7,12,0.025,3,3
100,5,5,9,20,0.023255814,4,5
101,15,15,19,60,0.0208333333,4,15
102,6,6,10,24,0.0204081633,4,6
103,6,6,10,24,0.0384615385,4,6
104,14,14,18,56,0.0204081633,4,14
105,5,5,9,20,0.0204081633,4,5
106,1,1,5,4,0.0222222222,1,1
107,3,3,7,12,0.0217391304,3,3
108,9,9,13,36,0.0212765957,4,9
109,2,2,6,8,0.0526315789,2,2
110,8,8,12,32,0.0238095238,4,11
111,2,2,6,8,0.023255814,2,2
112,5,5,9,20,0.0204081633,4,5
113,8,8,12,32,0.0208333333,4,8
114,20,20,24,80,0.0217391304,4,23
115,17,17,21,68,0.0204081633,4,17
116,7,7,11,28,0.0204081633,4,7
117,4,4,8,16,0.0256410256,4,4
118,20,20,24,80,0.0212765957,4,20
119,8,8,12,32,0.0238095238,4,18
120,1,1,5,4,0.0243902439,1,1
121,4,4,8,16,0.0204081633,4,4
122,4,4,8,16,0.0217391304,4,4
123,1,1,5,4,0.0208333333,1,1
124,3,3,7,12,0.0526315789,3,3
125,7,7,11,28,0.0294117647,4,27
126,1,1,5,4,0.0212765957,1,1
127,5,5,9,20,0.037037037,4,8
128,3,3,7,12,0.0204081633,3,3
129,14,14,18,56,0.0277777778,4,14
130,1,1,5,4,0.0243902439,1,1
131,6,6,10,24,0.0212765957,4,6
132,4,4,8,16,0.0333333333,4,14
133,4,4,8,16,0.0204081633,4,4
134,18,18,22,72,0.0238095238,4,24
135,1,1,5,4,0.0263157895,1,1
136,1,1,5,4,0.0222222222,1,1
137,2,2,6,8,0.0217391304,2,2
138,8,8,12,32,0.0208333333,4,8
139,2,2,6,8,0.0222222222,2,2
140,4,4,8,16,0.0666666667,4,4
141,5,5,9,20,0.0208333333,4,5
142,11,11,15,44,0.0208333333,4,18
143,11,11,15,44,0.0212765957,4,11
144,5,5,9,20,0.0357142857,4,5
145,1,1,5,4,0.0204081633,1,1
146,8,8,12,32,0.0217391304,4,8
147,8,8,12,32,0.023255814,4,8
148,2,2,6,8,0.0204081633,2,2
149,1,1,5,4,0.027027027,1,9
150,10,10,14,40,0.0243902439,4,10
151,11,11,15,44,0.0212765957,4,18
152,11,11,15,44,0.027027027,4,11
153,1,1,5,4,0.0212765957,1,1
154,2,2,6,8,0.0208333333,2,2
155,6,6,10,24,0.0384615385,4,6
156,4,4,8,16,0.0204081633,4,4
157,2,2,6,8,0.0294117647,2,2
158,4,4,8,16,0.0208333333,4,4
159,2,2,6,8,0.0204081633,2,2
160,2,2,6,8,0.0204081633,2,2
161,4,4,8,16,0.0208333333,4,4
162,7,7,11,28,0.0222222222,4,7
163,6,6,10,24,0.0212765957,4,6
164,12,12,16,48,0.0204081633,4,12
165,11,11,15,44,0.0212765957,4,20
166,3,3,7,12,0.0212765957,3,3
167,4,4,8,16,0.0217391304,4,4
168,3,3,7,12,0.0208333333,3,3
169,5,5,9,20,0.0208333333,4,5
170,3,3,7,12,0.0212765957,3,3
171,1,1,5,4,0.0217391304,1,1
172,11,11,15,44,0.023255814,4,11
173,7,7,11,28,0.0212765957,4,7
174,4,4,8,16,0.0208333333,4,4
175,12,12,16,48,0.0212765957,4,12
176,2,2,6,8,0.0208333333,2,2
177,7,7,11,28,0.0222222222,4,7
178,12,12,16,48,0.0416666667,4,12
179,1,1,5,4,0.023255814,1,5
180,14,14,18,56,0.023255814,4,14
181,3,3,7,12,0.0222222222,3,3
182,2,2,6,8,0.0285714286,2,2
183,4,4,8,16,0.0208333333,4,4
184,5,5,9,20,0.0212765957,4,5
185,7,7,11,28,0.0204081633,4,7
186,10,10,14,40,0.0217391304,4,10
187,1,1,5,4,0.0217391304,1,1
188,18,18,22,72,0.0227272727,4,18
189,14,14,18,56,0.0208333333,4,14
190,4,4,8,16,0.0222222222,4,4
191,1,1,5,4,0.0222222222,1,1
192,5,5,9,20,0.0212765957,4,5
193,11,11,15,44,0.0277777778,4,11
194,5,5,9,20,0.0222222222,4,5
195,3,3,7,12,0.0208333333,3,3
196,19,19,23,76,0.0217391304,4,19
197,1,1,5,4,0.0212765957,1,1
198,19,19,23,76,0.0212765957,4,19
199,1,1,5,4,0.025,1,1
200,4,4,8,16,0.0256410256,4,4
201,3,3,7,12,0.0208333333,3,3
202,1,1,5,4,0.0204081633,1,1
203,5,5,9,20,0.0227272727,4,5
204,4,4,8,16,0.0204081633,4,4
205,2,2,6,8,0.0204081633,2,2
206,12,12,16,48,0.0204081633,4,16
207,2,2,6,8,0.0222222222,2,2
208,28,28,32,112,0.023255814,4,28
209,18,18,22,72,0.0212765957,4,18
210,7,7,11,28,0.0204081633,4,7
211,14,14,18,56,0.0208333333,4,14
212,3,3,7,12,0.0204081633,3,3
213,1,1,5,4,0.0243902439,1,1
214,3,3,7,12,0.0243902439,3,3
215,4,4,8,16,0.0212765957,4,4
216,8,8,12,32,0.0285714286,4,15
217,9,9,13,36,0.0217391304,4,9
218,1,1,5,4,0.0204081633,1,1
219,23,23,27,92,0.04,4,23
220,6,6,10,24,0.0212765957,4,6
221,6,6,10,24,0.0204081633,4,6
222,6,6,10,24,0.0217391304,4,12
223,1,1,5,4,0.0227272727,1,1
224,7,7,11,28,0.0263157895,4,7
225,2,2,6,8,0.0263157895,2,2
226,1,1,5,4,0.0256410256,1,1
227,6,6,10,24,0.0217391304,4,10
228,12,12,16,48,0.0204081633,4,12
229,8,8,12,32,0.023255814,4,8
230,7,7,11,28,0.0238095238,4,7
231,17,17,21,68,0.025,4,17
232,1,1,5,4,0.0204081633,1,1
233,3,3,7,12,0.0212765957,3,7
234,1,1,5,4,0.0256410256,1,1
235,1,1,5,4,0.0416666667,1,1
236,11,11,15,44,0.0238095238,4,11
237,38,38,42,152,0.025,4,38
238,19,19,23,76,0.04,4,19
239,3,3,7,12,0.0277777778,3,3
240,1,1,5,4,0.0222222222,1,1
241,5,5,9,20,0.0208333333,4,5
242,1,1,5,4,0.0243902439,1,1
243,3,3,7,12,0.023255814,3,3
244,14,14,18,56,0.03125,4,14
245,5,5,9,20,0.0222222222,4,5
246,2,2,6,8,0.0208333333,2,2
247,2,2,6,8,0.0212765957,2,2
248,6,6,10,24,0.0208333333,4,6
249,11,11,15,44,0.0212765957,4,11
250,2,2,6,8,0.0285714286,2,2
251,4,4,8,16,0.0238095238,4,4
252,7,7,11,28,0.0256410256,4,7
253,23,23,27,92,0.0227272727,4,42
254,2,2,6,8,0.0217391304,2,2
255,1,1,5,4,0.025,1,1
256,1,1,5,4,0.0222222222,1,1
257,15,15,19,60,0.0357142857,4,16
258,7,7,11,28,0.0238095238,4,7
259,6,6,10,24,0.0238095238,4,6
260,17,17,21,68,0.0277777778,4,17
261,6,6,10,24,0.0204081633,4,6
262,21,21,25,84,0.0208333333,4,38
263,7,7,11,28,0.0217391304,4,7
264,1,1,5,4,0.025,1,1
265,2,2,6,8,0.0285714286,2,2
266,11,11,15,44,0.0217391304,4,11
267,4,4,8,16,0.0204081633,4,4
268,7,7,11,28,0.0243902439,4,7
269,1,1,5,4,0.0204081633,1,1
270,1,1,5,4,0.0204081633,1,1
271,9,9,13,36,0.0322580645,4,19
272,12,12,16,48,0.0204081633,4,12
273,5,5,9,20,0.0212765957,4,18
274,1,1,5,4,0.0243902439,1,1
275,12,12,16,48,0.0243902439,4,18
276,9,9,13,36,0.0208333333,4,9
277,5,5,9,20,0.0212765957,4,5
278,16,16,20,64,0.0263157895,4,16
279,6,6,10,24,0.0204081633,4,6
280,2,2,6,8,0.0238095238,2,2
281,3,3,7,12,0.0204081633,3,3
282,1,1,5,4,0.0212765957,1,1
283,13,13,17,52,0.0204081633,4,13
284,2,2,6,8,0.0208333333,2,2
285,4,4,8,16,0.0208333333,4,4
286,4,4,8,16,0.0212765957,4,4
287,4,4,8,16,0.025,4,6
288,2,2,6,8,0.0208333333,2,2
289,3,3,7,12,0.0204081633,3,3
290,2,2,6,8,0.0256410256,2,2
291,5,5,9,20,0.0217391304,4,5
292,1,1,5,4,0.0243902439,1,1
293,6,6,10,24,0.0227272727,4,6
294,11,11,15,44,0.0256410256,4,13
295,9,9,13,36,0.0227272727,4,9
296,3,3,7,12,0.0217391304,3,3
297,7,7,11,28,0.0238095238,4,18
298,15,15,19,60,0.0217391304,4,15
299,2,2,6,8,0.0222222222,2,2
300,6,6,10,24,0.0212765957,4,6
301,1,1,5,4,0.0294117647,1,1
302,19,19,23,76,0.0277777778,4,26
303,2,2,6,8,0.025,2,12
304,1,1,5,4,0.0227272727,1,1
305,7,7,11,28,0.0238095238,4,7
306,9,9,13,36,0.027027027,4,9
307,18,18,22,72,0.0217391304,4,18
308,1,1,5,4,0.023255814,1,1
309,1,1,5,4,0.0204081633,1,1
310,3,3,7,12,0.0217391304,3,3
311,1,1,5,4,0.0217391304,1,1
312,4,4,8,16,0.0204081633,4,4
313,3,3,7,12,0.0208333333,3,3
314,3,3,7,12,0.0384615385,3,3
315,24,24,28,96,0.0238095238,4,24
316,11,11,15,44,0.0217391304,4,11
317,2,2,6,8,0.0294117647,2,2
318,11,11,15,44,0.0212765957,4,11
319,3,3,7,12,0.0204081633,3,3
320,13,13,17,52,0.0204081633,4,13
321,5,5,9,20,0.0208333333,4,5
322,14,14,18,56,0.0294117647,4,14
323,9,9,13,36,0.0204081633,4,9
324,2,2,6,8,0.0217391304,2,2
325,8,8,12,32,0.0256410256,4,29
326,18,18,22,72,0.0217391304,4,18
327,1,1,5,4,0.0256410256,1,1
328,13,13,17,52,0.037037037,4,13
329,14,14,18,56,0.0208333333,4,18
330,15,15,19,60,0.025,4,15
331,2,2,6,8,0.0208333333,2,2
332,12,12,16,48,0.0217391304,4,12
333,6,6,10,24,0.0285714286,4,6
334,5,5,9,20,0.0204081633,4,5
335,9,9,13,36,0.0208333333,4,9
336,24,24,28,96,0.0256410256,4,24
337,5,5,9,20,0.0204081633,4,5
338,2,2,6,8,0.0222222222,2,15
339,5,5,9,20,0.0322580645,4,5
340,1,1,5,4,0.0227272727,1,1
341,3,3,7,12,0.0238095238,3,3
342,2,2,6,8,0.0277777778,2,2
343,1,1,5,4,0.0204081633,1,1
344,1,1,5,4,0.0208333333,1,1
345,6,6,10,24,0.0277777778,4,6
346,6,6,10,24,0.0588235294,4,6
347,6,6,10,24,0.0222222222,4,6
348,5,5,9,20,0.0204081633,4,5
349,2,2,6,8,0.0256410256,2,4
350,12,12,16,48,0.05,4,12
351,3,3,7,12,0.023255814,3,3
352,3,3,7,12,0.023255814,3,3
353,5,5,9,20,0.05,4,5
354,3,3,7,12,0.0204081633,3,3
355,2,2,6,8,0.0217391304,2,2
356,35,35,39,140,0.0227272727,4,38
357,1,1,5,4,0.023255814,1,1
358,7,7,11,28,0.027027027,4,7
359,2,2,6,8,0.0222222222,2,2
360,7,7,11,28,0.0217391304,4,7
361,1,1,5,4,0.0204081633,1,1
362,4,4,8,16,0.0222222222,4,4
363,17,17,21,68,0.0222222222,4,17
364,4,4,8,16,0.0204081633,4,5
365,3,3,7,12,0.0212765957,3,3
366,3,3,7,12,0.0212765957,3,14
367,7,7,11,28,0.0208333333,4,7
368,10,10,14,40,0.0217391304,4,10
369,3,3,7,12,0.0357142857,3,3
370,2,2,6,8,0.027027027,2,2
371,2,2,6,8,0.0208333333,2,2
372,1,1,5,4,0.0217391304,1,1
373,6,6,10,24,0.0204081633,4,16
374,13,13,17,52,0.0243902439,4,13
375,12,12,16,48,0.0322580645,4,12
376,7,7,11,28,0.0227272727,4,7
377,2,2,6,8,0.0204081633,2,2
378,6,6,10,24,0.0208333333,4,6
379,6,6,10,24,0.0204081633,4,6
380,14,14,18,56,0.027027027,4,18
381,1,1,5,4,0.0454545455,1,1
382,4,4,8,16,0.0208333333,4,4
383,7,7,11,28,0.0208333333,4,29
384,4,4,8,16,0.0212765957,4,10
385,3,3,7,12,0.0222222222,3,3
386,13,13,17,52,0.0322580645,4,16
387,9,9,13,36,0.0204081633,4,9
388,6,6,10,24,0.0217391304,4,6
389,2,2,6,8,0.0208333333,2,2
390,2,2,6,8,0.0208333333,2,2
391,2,2,6,8,0.0204081633,2,2
392,2,2,6,8,0.0212765957,2,2
393,7,7,11,28,0.0222222222,4,7
394,3,3,7,12,0.023255814,3,3
395,17,17,21,68,0.0526315789,4,18
396,1,1,5,4,0.0212765957,1,1
397,8,8,12,32,0.0204081633,4,8
398,5,5,9,20,0.0277777778,4,5
399,1,1,5,4,0.0204081633,1,1
400,8,8,12,32,0.0243902439,4,8
401,6,6,10,24,0.0204081633,4,6
402,5,5,9,20,0.0263157895,4,5
403,3,3,7,12,0.0204081633,3,3
404,16,16,20,64,0.0256410256,4,16
405,6,6,10,24,0.0208333333,4,9
406,2,2,6,8,0.0212765957,2,2
407,6,6,10,24,0.027027027,4,6
408,6,6,10,24,0.0204081633,4,6
409,7,7,11,28,0.0204081633,4,7
410,4,4,8,16,0.0208333333,4,4
411,3,3,7,12,0.023255814,3,3
412,6,6,10,24,0.0208333333,4,6
413,3,3,7,12,0.0204081633,3,3
414,7,7,11,28,0.0227272727,4,7
415,1,1,5,4,0.0208333333,1,1
416,3,3,7,12,0.0217391304,3,4
417,31,31,35,124,0.0212765957,4,31
418,10,10,14,40,0.0227272727,4,10
419,10,10,14,40,0.0243902439,4,10
420,6,6,10,24,0.0243902439,4,12
421,10,10,14,40,0.0217391304,4,10
422,7,7,11,28,0.027027027,4,10
423,2,2,6,8,0.0208333333,2,2
424,1,1,5,4,0.0217391304,1,3
425,10,10,14,40,0.0204081633,4,10
426,5,5,9,20,0.025,4,5
427,21,21,25,84,0.025,4,23
428,2,2,6,8,0.0208333333,2,2
429,5,5,9,20,0.0204081633,4,5
430,1,1,5,4,0.0238095238,1,1
431,6,6,10,24,0.0256410256,4,6
432,2,2,6,8,0.0212765957,2,2
433,3,3,7,12,0.0227272727,3,3
434,7,7,11,28,0.0227272727,4,7
435,9,9,13,36,0.0333333333,4,9
436,3,3,7,12,0.03125,3,3
437,5,5,9,20,0.023255814,4,5
438,1,1,5,4,0.0256410256,1,1
439,23,23,27,92,0.0256410256,4,23
440,5,5,9,20,0.0217391304,4,5
441,9,9,13,36,0.0204081633,4,9
442,1,1,5,4,0.0204081633,1,1
443,1,1,5,4,0.027027027,1,1
444,1,1,5,4,0.0208333333,1,2
445,3,3,7,12,0.0217391304,3,3
446,5,5,9,20,0.0217391304,4,5
447,1,1,5,4,0.0227272727,1,1
448,2,2,6,8,0.023255814,2,2
449,3,3,7,12,0.0227272727,3,3
450,15,15,19,60,0.0208333333,4,15
451,2,2,6,8,0.0212765957,2,2
452,2,2,6,8,0.0208333333,2,2
453,5,5,9,20,0.0208333333,4,5
454,2,2,6,8,0.027027027,2,2
455,2,2,6,8,0.0256410256,2,2
456,10,10,14,40,0.0208333333,4,11
457,16,16,20,64,0.027027027,4,16
458,3,3,7,12,0.0212765957,3,3
459,5,5,9,20,0.0208333333,4,5
460,1,1,5,4,0.0212765957,1,1
461,5,5,9,20,0.0204081633,4,5
462,17,17,21,68,0.0238095238,4,20
463,10,10,14,40,0.0222222222,4,10
464,1,1,5,4,0.0222222222,1,1
465,1,1,5,4,0.0227272727,1,12
466,4,4,8,16,0.0333333333,4,4
467,4,4,8,16,0.0243902439,4,4
468,6,6,10,24,0.0243902439,4,6
469,2,2,6,8,0.023255814,2,2
470,1,1,5,4,0.0227272727,1,3
471,2,2,6,8,0.0243902439,2,2
472,2,2,6,8,0.0204081633,2,2
473,11,11,15,44,0.0212765957,4,11
474,3,3,7,12,0.0217391304,3,3
475,3,3,7,12,0.0204081633,3,3
476,5,5,9,20,0.0208333333,4,5
477,7,7,11,28,0.0227272727,4,7
478,1,1,5,4,0.0243902439,1,1
479,4,4,8,16,0.0217391304,4,4
480,18,18,22,72,0.0208333333,4,18
481,6,6,10,24,0.0204081633,4,11
482,6,6,10,24,0.0222222222,4,6
483,5,5,9,20,0.0344827586,4,5
484,2,2,6,8,0.0208333333,2,2
485,7,7,11,28,0.0204081633,4,7
486,2,2,6,8,0.0208333333,2,2
487,1,1,5,4,0.0222222222,1,1
488,35,35,39,140,0.0227272727,4,35
489,4,4,8,16,0.023255814,4,4
490,6,6,10,24,0.023255814,4,6
491,1,1,5,4,0.0204081633,1,1
492,15,15,19,60,0.0243902439,4,15
493,9,9,13,36,0.0243902439,4,9
494,8,8,12,32,0.0212765957,4,8
495,10,10,14,40,0.0227272727,4,10
496,1,1,5,4,0.0208333333,1,5
497,6,6,10,24,0.0277777778,4,6
498,16,16,20,64,0.0204081633,4,16
499,11,11,15,44,0.025,4,11
500,7,7,11,28,0.0212765957,4,7
501,2,2,6,8,0.0204081633,2,2
502,24,24,28,96,0.025,4,24
503,1,1,5,4,0.0204081633,1,1
504,7,7,11,28,0.023255814,4,7
505,9,9,13,36,0.027027027,4,9
506,3,3,7,12,0.0208333333,3,14
507,6,6,10,24,0.0208333333,4,6
508,10,10,14,40,0.0285714286,4,10
509,5,5,9,20,0.0217391304,4,5
510,23,23,27,92,0.0208333333,4,32
511,9,9,13,36,0.0204081633,4,9
512,1,1,5,4,0.0204081633,1,1
513,11,11,15,44,0.03125,4,11
514,3,3,7,12,0.0256410256,3,3
515,1,1,5,4,0.0217391304,1,5
516,2,2,6,8,0.023255814,2,2
517,7,7,11,28,0.0212765957,4,7
518,3,3,7,12,0.027027027,3,3
519,6,6,10,24,0.0243902439,4,6
520,8,8,12,32,0.0208333333,4,8
521,1,1,5,4,0.025,1,1
522,30,30,34,120,0.027027027,4,30
523,11,11,15,44,0.023255814,4,11
524,9,9,13,36,0.023255814,4,9
525,1,1,5,4,0.0263157895,1,1
526,1,1,5,4,0.0204081633,1,2
527,2,2,6,8,0.0208333333,2,2
528,4,4,8,16,0.0263157895,4,4
529,7,7,11,28,0.023255814,4,7
530,12,12,16,48,0.0217391304,4,12
531,13,13,17,52,0.0256410256,4,13
532,9,9,13,36,0.0263157895,4,9
533,5,5,9,20,0.0208333333,4,5
534,3,3,7,12,0.0208333333,3,3
535,10,10,14,40,0.0204081633,4,10
536,3,3,7,12,0.0238095238,3,3
537,7,7,11,28,0.0217391304,4,7
538,6,6,10,24,0.0208333333,4,6
539,6,6,10,24,0.0212765957,4,6
540,1,1,5,4,0.027027027,1,17
541,4,4,8,16,0.027027027,4,6
542,13,13,17,52,0.0277777778,4,13
543,18,18,22,72,0.0217391304,4,26
544,3,3,7,12,0.0238095238,3,3
545,8,8,12,32,0.0303030303,4,8
546,6,6,10,24,0.0217391304,4,6
547,1,1,5,4,0.0222222222,1,1
548,5,5,9,20,0.0204081633,4,5
549,12,12,16,48,0.0277777778,4,12
550,4,4,8,16,0.0256410256,4,4
551,3,3,7,12,0.0243902439,3,3
552,5,5,9,20,0.0222222222,4,20
553,4,4,8,16,0.0208333333,4,4
554,14,14,18,56,0.0204081633,4,14
555,2,2,6,8,0.0208333333,2,2
556,8,8,12,32,0.0204081633,4,8
557,6,6,10,24,0.023255814,4,6
558,5,5,9,20,0.027027027,4,5
559,1,1,5,4,0.0238095238,1,1
560,3,3,7,12,0.0204081633,3,3
561,10,10,14,40,0.0208333333,4,14
562,7,7,11,28,0.0222222222,4,7
563,1,1,5,4,0.0204081633,1,1
564,13,13,17,52,0.0243902439,4,13
565,5,5,9,20,0.0212765957,4,5
566,4,4,8,16,0.0208333333,4,4
567,1,1,5,4,0.0208333333,1,1
568,5,5,9,20,0.025,4,22
569,5,5,9,20,0.0204081633,4,5
570,22,22,26,88,0.0208333333,4,38
571,6,6,10,24,0.0243902439,4,39
572,5,5,9,20,0.0322580645,4,5
573,14,14,18,56,0.0212765957,4,14
574,6,6,10,24,0.0256410256,4,6
575,5,5,9,20,0.0212765957,4,5
576,5,5,9,20,0.0212765957,4,9
577,8,8,12,32,0.0204081633,4,8
578,4,4,8,16,0.0212765957,4,4
579,1,1,5,4,0.0277777778,1,3
580,8,8,12,32,0.0243902439,4,8
581,7,7,11,28,0.0208333333,4,7
582,1,1,5,4,0.0277777778,1,1
583,1,1,5,4,0.027027027,1,1
584,12,12,16,48,0.0204081633,4,12
585,9,9,13,36,0.0212765957,4,9
586,1,1,5,4,0.023255814,1,5
587,6,6,10,24,0.0263157895,4,7
588,4,4,8,16,0.0227272727,4,4
589,3,3,7,12,0.0212765957,3,3
590,3,3,7,12,0.0222222222,3,3
591,1,1,5,4,0.0212765957,1,1
592,8,8,12,32,0.0212765957,4,8
593,20,20,24,80,0.0208333333,4,20
594,7,7,11,28,0.0263157895,4,7
595,4,4,8,16,0.0204081633,4,4
596,2,2,6,8,0.0208333333,2,2
597,2,2,6,8,0.025,2,2
598,6,6,10,24,0.0277777778,4,8
599,9,9,13,36,0.0222222222,4,9
600,9,9,13,36,0.0256410256,4,35
601,1,1,5,4,0.023255814,1,1
602,11,11,15,44,0.0212765957,4,11
603,4,4,8,16,0.0217391304,4,4
604,3,3,7,12,0.0256410256,3,5
605,7,7,11,28,0.0208333333,4,7
606,1,1,5,4,0.0238095238,1,1
607,4,4,8,16,0.023255814,4,4
608,6,6,10,24,0.0256410256,4,6
609,2,2,6,8,0.0204081633,2,2
610,9,9,13,36,0.023255814,4,24
611,2,2,6,8,0.0243902439,2,2
612,9,9,13,36,0.0204081633,4,9
613,5,5,9,20,0.0204081633,4,5
614,20,20,24,80,0.04,4,20
615,2,2,6,8,0.0277777778,2,2
616,3,3,7,12,0.0217391304,3,3
617,1,1,5,4,0.0222222222,1,1
618,1,1,5,4,0.0212765957,1,16
619,7,7,11,28,0.0222222222,4,7
620,3,3,7,12,0.0243902439,3,3
621,5,5,9,20,0.0204081633,4,5
622,1,1,5,4,0.0212765957,1,1
623,3,3,7,12,0.0217391304,3,3
624,3,3,7,12,0.0227272727,3,3
625,17,17,21,68,0.0227272727,4,17
626,1,1,5,4,0.023255814,1,1
627,10,10,14,40,0.023255814,4,17
628,7,7,11,28,0.0227272727,4,7
629,7,7,11,28,0.037037037,4,16
630,1,1,5,4,0.0238095238,1,1
631,3,3,7,12,0.0256410256,3,3
632,7,7,11,28,0.0222222222,4,7
633,1,1,5,4,0.0212765957,1,1
634,1,1,5,4,0.0217391304,1,9
635,1,1,5,4,0.025,1,1
636,17,17,21,68,0.0238095238,4,17
637,1,1,5,4,0.0204081633,1,9
638,1,1,5,4,0.0263157895,1,1
639,1,1,5,4,0.0285714286,1,1
640,5,5,9,20,0.0222222222,4,7
641,4,4,8,16,0.0256410256,4,4
642,1,1,5,4,0.027027027,1,1
643,15,15,19,60,0.0208333333,4,15
644,15,15,19,60,0.023255814,4,15
645,1,1,5,4,0.0222222222,1,11
646,4,4,8,16,0.0303030303,4,9
647,4,4,8,16,0.0277777778,4,4
648,2,2,6,8,0.0204081633,2,2
649,2,2,6,8,0.0227272727,2,2
650,15,15,19,60,0.023255814,4,15
651,10,10,14,40,0.023255814,4,10
652,8,8,12,32,0.0227272727,4,8
653,16,16,20,64,0.0222222222,4,16
654,4,4,8,16,0.0212765957,4,4
655,27,27,31,108,0.0208333333,4,27
656,9,9,13,36,0.0222222222,4,9
657,4,4,8,16,0.0208333333,4,4
658,27,27,31,108,0.0227272727,4,27
659,24,24,28,96,0.0204081633,4,24
660,3,3,7,12,0.0204081633,3,3
661,9,9,13,36,0.0204081633,4,9
662,9,9,13,36,0.0222222222,4,9
663,4,4,8,16,0.0222222222,4,4
664,2,2,6,8,0.0222222222,2,2
665,12,12,16,48,0.0204081633,4,12
666,3,3,7,12,0.0212765957,3,3
667,3,3,7,12,0.0227272727,3,3
668,1,1,5,4,0.0204081633,1,1
669,1,1,5,4,0.0243902439,1,1
670,10,10,14,40,0.0212765957,4,10
